{'omega': 0.01, 'v': 1.1, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 0.28, 'v': 9.55, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 0.408, 'v': 6.56, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 0.472, 'v': 5.675, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 0.688, 'v': 3.905, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 0.742, 'v': 3.625, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 0.786, 'v': 3.425, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 0.886, 'v': 3.045, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.058, 'v': 2.56, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.118, 'v': 2.425, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.138, 'v': 2.385, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.14, 'v': 1.115, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.16, 'v': 2.34, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.212, 'v': 2.245, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.312, 'v': 2.08, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.338, 'v': 2.04, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.348, 'v': 2.025, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.36, 'v': 2.01, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.388, 'v': 1.97, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.408, 'v': 1.9449999999999998, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.438, 'v': 1.905, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.5, 'v': 1.83, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.532, 'v': 1.795, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.584, 'v': 1.74, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.66, 'v': 1.665, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.686, 'v': 1.6400000000000001, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.702, 'v': 1.625, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.712, 'v': 4.515000000000001, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.738, 'v': 1.595, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.824, 'v': 1.525, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.83, 'v': 1.52, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.872, 'v': 1.49, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.912, 'v': 1.46, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.972, 'v': 1.42, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
{'omega': 1.998, 'v': 1.405, 'theta': 0, 't': 0.001, 'r': 0.02, 'g': 9.8, 'e': 0.5}
